,Locality,Price,Number of bedrooms,Livable surface,Number of bathrooms,Balcony,Furnished,Surface of living-room,Elevator,Terrace,Surface terrace,Garden,Surface garden,Kitchen equipment_Fully equipped,Kitchen equipment_Not equipped,State of the property_New,State of the property_To be renovated,Type of property_house,Subtype of property_apartment,Subtype of property_villa
207,1,695000,4.0,225.0,2,0,0,84.0,1,1,6.0,0,716.1877700980356,0,0,0,0,0,1,0
208,1,450000,2.0,90.0,1,0,0,37.0,1,1,15.0,0,286.4751080392142,0,0,1,0,0,1,0
209,1,250000,2.0,75.0,1,0,1,23.0,1,1,12.0,0,238.7292566993452,0,0,0,0,0,1,0
210,1,219000,1.0,39.0,1,0,1,16.0,1,1,4.0,0,124.1392134836595,0,0,0,0,0,1,0
211,1,209000,1.0,78.0,1,0,0,28.0,0,1,4.0,0,248.278426967319,0,0,0,0,0,1,0
212,1,269000,2.0,100.0,1,0,0,20.0,1,1,6.0,0,318.3056755991269,0,0,0,0,0,1,0
213,1,165000,1.0,50.0,1,0,0,20.0,0,0,0.0,0,159.15283779956346,0,0,0,0,0,1,0
214,1,125000,1.0,40.0,1,0,0,23.0,1,0,0.0,0,127.32227023965078,0,0,0,0,0,1,0
215,1,379000,2.0,120.0,1,0,0,36.0,1,1,110.0,0,381.96681071895233,0,0,0,0,0,0,0
216,1,305000,3.0,170.0,1,0,0,30.0,0,1,27.0,0,541.1196485185158,0,0,0,0,0,0,0
217,1,225000,2.0,80.0,1,0,0,30.0,0,1,15.0,0,254.64454047930155,0,0,0,0,0,1,0
218,1,295000,1.0,120.0,1,0,0,25.0,0,0,0.0,1,65.0,0,0,0,0,0,1,0
219,1,225000,2.0,103.0,1,0,0,36.0,0,1,8.0,1,600.0,0,0,0,0,0,1,0
220,1,640000,6.0,330.0,1,0,0,36.0,0,1,50.0,0,1050.4087294771189,0,0,0,0,1,0,0
221,1,270000,3.0,113.0,1,0,0,33.097224317152694,0,0,0.0,0,359.68541342701343,0,0,0,0,0,1,0
222,1,185000,1.0,76.0,1,0,0,22.0,0,0,0.0,0,241.9123134553365,0,0,0,0,0,1,0
